date,collected_at,category,region,newspaper,headline,url,source_url,status,error_message
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,毎日新聞,日英伊の次期戦闘機、カナダが初のオブザーバー 開発費低減狙う,https://mainichi.jp/articles/20260721/k00/00m/030/409000c,https://mainichi.jp/rss/etc/mainichi-flash.rss,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,毎日新聞,巨人・浦田が走攻守に躍動 俊足生かし、今季すでに24盗塁,https://mainichi.jp/articles/20260721/k00/00m/050/387000c,https://mainichi.jp/rss/etc/mainichi-flash.rss,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,毎日新聞,中露の存在誇示に神経とがらす政府 過剰反応で「逆効果」懸念も,https://mainichi.jp/articles/20260721/k00/00m/010/367000c,https://mainichi.jp/rss/etc/mainichi-flash.rss,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,日本経済新聞,,,,skipped,公式無料RSSなし。著作権ページで自動収集を明確に禁止しているため、自動取得の対象外とする。
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,産経新聞,次期戦闘機にカナダ参加 日英伊、初のオブザーバー 機密共有、輸出先確保へ,https://www.sankei.com/article/20260722-VU66ELHE3VPW5AVZ5WRXVQLC6U/,https://www.sankei.com/,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,産経新聞,政府が外国と疑われる不審アカウント把握 高市首相「選挙への影...,https://www.sankei.com/article/20260318-U6PW4754BNE3XKFYBTQWPKM65A/,https://www.sankei.com/,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,産経新聞,衆院選で国会議員の部屋割り一変 小沢、岡田、安住氏ら自民に明...,https://www.sankei.com/article/20260304-C5JCVB743FEVZMNEAU76GY4VNQ/,https://www.sankei.com/,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,産経新聞,立正佼成会が衆院選で中道103人推薦 公明合流影響か 前回立...,https://www.sankei.com/article/20260303-EHLBLQ2BTRCSVGSJVFHI5TBX4U/,https://www.sankei.com/,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,産経新聞,中道落選者ヒアリングに170人 公明出身の比例名簿上位に不満...,https://www.sankei.com/article/20260228-EVZDJVSJZBANXN7Y4DVXWAX5RU/,https://www.sankei.com/,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,産経新聞,ニチレイへの攻撃、ハッカー集団「ランサムハウス」が犯行声明 身代金要求ウイルス常用,https://www.sankei.com/article/20260722-STBK64TFWNOHZNBW4L3DGYXLG4/,https://www.sankei.com/,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,産経新聞,一帯一路の「原点」カザフスタンの光と影 活況の裏で中国流「監視社会」の足音,https://www.sankei.com/article/20260722-WV6E4IZUPZMTDHWDF3D55AAGWA/,https://www.sankei.com/,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,産経新聞,米通商代表「近く何らかの動き」 24日失効の代替関税巡り、通商法301条に基づく措置...,https://www.sankei.com/article/20260722-5U3Y4DPCORKLPENMNTY7GYBLOM/,https://www.sankei.com/,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,産経新聞,裸踊りUSA 米大リーグ若者人気復活への光明、球場で広がる流行に乗ってみた,https://www.sankei.com/article/20260722-E35UQ5DAS5OBHJQS7KHD7CFL7E/,https://www.sankei.com/,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,産経新聞,予算編成改革 新投資枠に重点、国債は抑制 市場は財政悪化懸念 問われる〝予算の質〟,https://www.sankei.com/article/20260721-LXPKV5ZCYZPDJFNWUFQZ3FOOOY/,https://www.sankei.com/,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,産経新聞,西アフリカ・シエラレオネ拠点の詐欺グループ リーダー役の男ら5人を起訴 神戸地検,https://www.sankei.com/article/20260722-64XMRH7CLJOIFKLP5ROZ422GRE/,https://www.sankei.com/,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,産経新聞,中露が共同軍事活動を活発化 「脅威レベル上がる」 防衛省、認知戦への対抗で積極発信,https://www.sankei.com/article/20260721-HIB6HENKRBMF7CEUACSOMXTJ34/,https://www.sankei.com/,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,産経新聞,ロシアの爆撃機が日本海上を飛行 公海上空を11時間超、戦闘機が随伴,https://www.sankei.com/article/20260721-R6LSOILEXFPPHOF4F6JIBL4SGE/,https://www.sankei.com/,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,産経新聞,「骨太ショック」火消し 政府、長期金利上昇と円安に神経とがらせ 日銀の独立性に言及,https://www.sankei.com/article/20260721-YILTJE64ZVIFPANQD2DDK7AUHI/,https://www.sankei.com/,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,産経新聞,円、一時163円台 39年半ぶり安値 米イラン衝突激化見据え「有事のドル買い」優勢,https://www.sankei.com/article/20260722-2QLIVL5FPZOVFC427HI32FCDBU/,https://www.sankei.com/,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,産経新聞,「先が見えない不安」 ナイツの二人が笑いとともに解き明かす,https://www.sankei.com/article/20260701-4B3OCPTCUNHVNH65K4BDRKVNOQ/,https://www.sankei.com/,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,産経新聞,「AIが駆動する人事3.0:採用・育成・タレントマネジメントの戦略的シフト」8月5日...,https://www.sankei.com/article/20260701-7TY77265CVCN5LQS464VQVIRPI/,https://www.sankei.com/,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,産経新聞,都市型ハイヤーで白タクか 中国籍の男逮捕,https://www.sankei.com/article/20260722-XQXGT6T3VZKG5EJM5SDQKIHDYA/,https://www.sankei.com/,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,産経新聞,カメラ内蔵眼鏡で女性の胸撮影 中学教諭逮捕,https://www.sankei.com/article/20260722-DLXS64UXRZPRHIOMMNGPCPFET4/,https://www.sankei.com/,ok,
